start	end	text
0	8360	Good afternoon everybody, I'm Andrew Ross Sorkin and it is a privilege to have with
8360	14640	me Peter Thiel this afternoon, one of the great legendary investors in Silicon Valley.
14640	19720	He has been involved in just about everything that you touch and feel, including being the
19720	25480	co-founder of PayPal, the co-founder of Palantir, he made his first outside investment, made
25480	30240	the first outside investment, I'd say in Facebook, his firm Founders Fund is a big
30240	35280	backer of Stripe and SpaceX, his firm backed numerous other startups through the Founders
35280	36840	Fund into your capital.
36840	41360	He also started the Thiel Fellowship to your program, that's an alternative to a college
41360	46840	degree which I want to get to at one point and more importantly than all of it, he has
46840	52800	touched some of the people and found the people who you read about in the headlines every
52800	58320	day from Mark Zuckerberg to Elon Musk to Sam Altman and so many others and it is great
58320	59320	to have you here.
59320	60320	Thanks for having me.
60320	64960	We're also going to talk a little politics as well, along with maybe some of the issues
64960	69280	and culture conversations that are happening in Silicon Valley, but here's where I want
69280	72640	to start the conversation because I want to start the conversation talking about people
72640	76760	because I think there's something actually extraordinary when you think about your track
76760	82760	record over the years of involving yourself in investing not just in companies but ultimately
83040	84200	in people.
84200	88520	You wrote a book which is coming on a 10-year anniversary and by the way I re-read it and
88520	94440	it stands up in a very big way, it is called Zero to One and you wrote the following about
94440	97280	founders, the idea of founders.
97280	100480	You wrote that the lesson for business is that we need founders.
100480	108200	If anything, we should be more tolerant of founders who seem strange or extreme.
108200	116320	We need unusual individuals to lead companies beyond mere incrementalism and I mention that
116320	120320	because I also just mentioned a number of individuals which we read about all the time
120320	125760	and some of those people would be described as unusual perhaps or even strange.
125760	130640	And I'm curious about how you think over the years you have found these individuals, what
130640	135840	it is that has made these individuals as successful as they have become.
136840	142960	Yeah, it's obviously, if there was some simple magic formula, this is what a founder looks
142960	149760	like and you invest in this category of people who's a founder, it probably gets faked.
149760	155160	It's like, I don't know, it's a 20-year-old with a t-shirt and jeans or something like
155160	162320	this or you end up with all kinds of really fake ideas but yeah, I think a lot of the
162320	170120	great companies that have been built over the last two decades were, they were founded
170120	176520	by people where it was somehow deeply connected to their identity, their life project.
176520	183560	They had some kind of idiosyncratic, somewhat different vision of what they were doing.
183560	190680	They did something new and then they built something extraordinarily big over the years
190680	197200	and of course they have these sort of extreme personalities, often have a lot of blind spots
197200	201520	and there are all these ways in which it's a feature and there are ways in which it can
201520	209120	be a little bit buggy but it's sort of a package deal and I net out to it being massively
209120	214400	advantageous versus let's say a professional CEO being brought in.
214400	219680	The prehistory of this I would say would be in the 1990s, the Silicon Valley formula was
219680	225080	you had various people found the company and then you'd replace them as quickly as possible
225080	229680	with professional CEOs, professional management and there are variations of this that happened
229680	236840	with Netscape and Yahoo and even Google, all these companies and the Gen X people founded
236840	240360	them, the baby boomers came along and sort of took over the companies and stole them
240360	243320	from the Gen X founders in the 90s.
243320	248960	In the 2000s when the millennials founded the companies they were given more of an opportunity
249280	250960	and it made a big difference.
250960	258760	The Facebook story I always tell is it was 2006, two years in, Zuckerberg was like 22
258760	267240	years old and we got a $1 billion offer to sell the company to Yahoo and we had a board
267240	271320	meeting, there were three of us and we thought we should at least talk about it.
271320	275600	It was a lot of money, Zuckerberg would make $250 million and sort of an eight hour long
275720	280160	discussion and he didn't know what he'd do with the money and he'd just start another
280160	283480	social networking company and kind of like the one he had and he didn't know what else
283480	290960	he would do and so he really didn't want to sell and if you had a professional CEO
290960	295280	it would have just been, man I can't believe they're offering us a billion dollars and
295280	304440	I'm going to try not to be too eager and we better take the money and run and that one
304440	305440	thing right makes a big difference.
305440	309080	Let me ask you a different question and all of these individuals had a huge impact on
309080	314760	society and have an enormous individual power and I think one of the things that you've
314760	318120	argued in this book and that you've argued over the years is that we need to give them
318120	325840	that power, we need to offer them a latitude that in many ways we don't offer others.
325840	336040	Well I think one of the frames I always have is that there are many ways in which the United
336040	343040	States, the developed countries have been relatively stagnant for the last 50 years.
343040	344800	Progress has slowed.
344800	350160	We had progress in computers, internet, software and many other domains, things have kind of
350160	354640	stalled out and it sort of manifests in low economic growth in the sense that the younger
354640	358120	generation is going to have a tough time doing as well as their parents and there is
358120	366280	sort of this way that there has been this broad stagnation for 40, 50 years and we need
366280	368520	to find ways to do new things.
368520	374120	I don't think, you know, startup, tech startup companies are the only ways to do them, that
374120	382960	is a vehicle for doing it and if you don't allow these companies to have a certain latitude
