start	end	text
0	20120	Good afternoon everyone. If you could take your seats. I'm Elliot Gerson and it is my
20120	29680	great privilege to introduce the next session. It is really, in a sense, central to the theme
29680	36120	of many of the things that you've been hearing about this week, the world on fire, populism,
36120	43080	the rise of authoritarianism, and basically the whole mess in the world that we've been
43080	49320	talking about through one prism or another over the last few days and we will continue
49320	56440	to. And we are going to have someone address the root causes of that in a way that no one
56440	62280	else could and he is someone who certainly needs no introduction and I don't want to
62280	68000	take time away from him and after his remarks you'll all have an opportunity to ask questions.
68000	74480	But I will, given the fact that it is the 20th anniversary of the Ideas Festival, say something
74480	80800	about our guest who you know all about his distinctions. You read him, you follow him,
80800	86880	you watch him. He also has a long history with the Institute. He co-founded and the
86880	92880	chairs weave the social fabric project. But more significantly, although it's pretty
92880	98040	wonderful, in the annals of the Ideas Festival I can now say to you officially, because I
98040	104200	went back to our archives and confirmed this, that no one has spoken at the Ideas Festival
104200	112040	more than David Brooks. And appropriately. David, I think one reason when we created
112040	117640	this, we had no idea if it would survive more than 2005. One reason it was so successful
117640	123840	was David Brooks. And then a couple years after that he came and he has been here every
123840	130120	year, every year since. There is no one spoken as often. A couple of other things that make
130160	137880	him an exception here, an entirely deserved exception. One is that early in this process
137880	142360	of the Ideas Festival, Guinea and I decided that we would have a rule to make sure we
142360	147200	keep things fresh and people would come back for new things every year. We had a rule that
147200	152440	no one would speak more than three consecutive years. But of course we had to have the David
152440	158000	Brooks exception and we do. And the other thing that this is an example of an exception
158000	165160	of is that we decided at the very beginning that the format we would use in almost all
165160	171760	instances is conversation and dialogue. Either an interview or a moderated panel. And that
171760	177360	we were not going to have lectures as one often has at other kinds of conferences and
177360	184400	events. But then again, given the wisdom, insight and popularity of this man, we had
184440	191280	to make a second David Brooks exception, which was to allow him to have these kinds of formats
191280	196440	with regularity. So without any further ado, it's my great pleasure and privilege to bring
196440	198640	up David Brooks.
198640	205640	I should correct, Elliot. I haven't actually spoken more than anybody else. It just seems
205640	213640	that way. I read my first book for book on tape and the sound engineer told me a story
213640	218480	when you read your book for audio, you realize how boring your book is and how often you
218480	222600	repeat yourselves. But the sound engineer told me the story that there was a novelist who
222600	227960	was reading a 700 page novel. And he's in the middle of it and the sound engineer looks
227960	234280	in and the novelist is weeping. And so the engineer says, there's something I can do.
234280	240880	And the novelist says, don't I ever shut up? And so that's me at Aspen. Now every other
240920	247920	talk I've given here has been about how to live a better life, how to improve your life.
248760	252640	This one is not because of the global situation. I thought I should rise to the occasion and
252640	257120	try to diagnose the whole global situation. But I felt guilty about that that if I don't
257120	261360	give you some practical life tips, your lives will fall apart over the next year before
261360	264960	I can give my next talk. So in the first few minutes, I'm going to give you some actual
265000	270880	life hacks, which I got from the internet or the Bible, one of the two. And so here
270880	274960	are a few life hacks. These are practical life hacks. Then I'll get to politics. When
274960	280960	you have 90% of a large project finish, finishing up the final details will take another 90%.
280960	287960	Denying or deflecting a compliment is rude. Accept it with thanks. Getting cheated occasionally
288680	293240	is a small price to pay for trusting the best in everyone. Because when you trust the best
293240	298880	in others, they will treat you the best. Purchase a tourist guidebook to your hometown.
298880	303720	You'll learn a lot playing tourist once a year. The thing that made you weird as a kid
303720	310720	will make you outstanding as an adult. It's not an apology if it comes with an excuse.
310720	315240	Just because it's not your fault doesn't mean it's not your responsibility. If you think
315240	322240	you saw a mouse, you did. And if you saw one, there are others. If you can't make up your
322240	327000	mind between two options, flip a coin. But don't go by how the coin comes up. Go by your
327000	332560	emotional reaction to how the coin went up. Take photos of your parents every day. That's
332560	337760	how you'll want to remember them. If you meet a jerk once a month, you've met a jerk. If
337760	344000	you meet a jerk every day, you're the jerk. Don't ever look at a recent photo of your
344000	348880	first great love. And this one is from Warren Buffet. You can always tell someone to go
348880	352400	to hell tomorrow, which is good. When you're mad at them, you can tell them to go to hell
352400	360480	tomorrow, way today. So that's my life-altering advice for you cramped into about 90 seconds.
360480	365640	Now we turn to politics. Now, I got my political start when I was five. My parents were somewhat
365640	370040	left-wing. We lived in New York, and they took me to a place where hippies would go called
370040	375920	a be-in. And a be-in was where hippies would go to show how little they cared about money
375920	380360	and material things. And one of the ways they showed this was they set a garbage can on
380360	385860	fire, threw their wallets into it, just to show we don't care about money. I'm five
385860	390680	years old. I see a $5 bill on fire in the garbage can. I break from the crowd, reach
390680	394800	into the fire, grab the money, and run away. And that was sort of my first step over to
394800	402640	the right. And so I veered right, and then I veered left. But the main thing I am, like
402640	409000	all of us probably in this room, is I believe in liberal democracy. And I was a foreign
409000	414080	correspondent in the 1990s at the High Water Mark of liberal democracy. I was in the Soviet
414080	418080	Union, if you remember, in the final days of the Soviet Union, Boris Yeltsin was the
418080	423360	democratically elected president of Russia, and this old Soviet apparatus staged a coup.
423360	428120	And they had tanks rolling through the town, and Yeltsin, if you recall, stood on a tank
428120	432000	in front of the Russian White House, the parliament building, and said, I dare you,
432000	439200	shoot me. And all the democratic activists surrounded him to offer sort of a buffer.
439200	444840	And I was there, and I found a woman who was handing out sandwiches to the democratic protesters.
444840	451200	And her name was Valentina Kossieva, and she was 93. And so I asked her to tell her
451200	455560	me her life story, and she told me that she'd grown up in the Palace of the Tsar before
455560	460440	the revolution. Just after the revolution, she'd been lined up for a firing squad because
460440	466800	she was on the wrong side of the Russian Revolution. Her mother saved her life. She got married.
466800	471920	Her husband was disappeared in the 1930s, purged and sent to the Siberia and never to return.
471920	477400	Her two boys were killed in the Battle of Stalingrad by the Nazis. One of her sons was
477400	482560	rifle-butted to death. And then she married again. Her second husband also was sent away
482560	488080	to the Gulag, and she never saw him again. And then in the 1950s, under Khrushchev, she
488080	493080	was part of the Kalmyk people, which is a Muslim people, and they were sent off to exile.
493080	497840	And so my brilliant interviewing techniques when she's telling me this story is, and then
497840	502480	what happened? And then what happened? And basically every bad thing that happened in
502480	508240	Soviet history happened to her. And they were so moving to be talking to her at age 93,
508240	513840	asking out sandwiches at what we thought would be the rise of Democratic Russia. And
513840	519360	it didn't turn out that way, obviously. And I covered in those days the end of apartheid.
519360	524600	I covered the Oslo peace process. A participant is in the room. And I covered the reunification
524600	529680	of Germany. I covered nothing but good news for five years. History has since taken a
529680	534120	dark turn. And the interesting thing about the dark turn it has taken, especially this
534200	540080	year, is that it's happening all around the world. I was raised with the idea that we
540080	545920	Americans are outliers. We're more individualistic, we're more mobile, we're just outliers compared
545920	550680	to most other countries in the world. That is not true anymore. The Ipsos organization,
550680	556880	which is a British firm, asked people in 28 countries about certain attitudes. And we
556880	563600	are absolutely typical of the world now. Our pessimism is typical. 59 percent of Americans
563640	567800	say they believe our country is in decline. That's compared to 58 percent of people around
567800	573120	the world. 60 percent of Americans agree with a statement that the system is broken, compared
573120	579920	to 61 percent worldwide. Our hostility to elites is absolutely typical. 69 percent of
579920	584040	Americans think that the political and economic elite don't care about hardworking people
584040	589920	compared to 67 percent worldwide. 63 percent of Americans agree that experts in this country
589960	594960	don't know what they're talking about compared to 62 percent worldwide. We're just typical.
594960	600360	Even our authoritarianism is typical. 66 percent of Americans say the country needs a strong
600360	605080	leader to take it back from the rich and the powerful compared to 63 percent worldwide.
605080	608920	40 percent of Americans, we need a strong leader who will break the rules compared to
608920	615920	41 percent worldwide. So there are two things to take from this. The first is that we're
616160	620680	typical. We're no longer extraordinary. We're a typical country with typical beliefs. And
620680	625400	the second is that all around the world in all these 28 countries measured there's an
