start	end	text
0	8080	Hello. Sorry, she said waving the book. Welcome to the latest AQR webinar and welcome to Nick
8080	15760	Salsgate and Nick Chater. I'm very kindly come on board to discuss Nick Cee's latest book.
16480	23440	This one, The Mind is Flat, which he's just told us, has won the US prose award for best book
23440	32240	in clinical psychology. So many congratulations for that. Nick Salsgate, or I can hear a corner,
34640	40560	partook of our last webinar. So he's an old hand at this and he says he's a
40560	46160	philosopher turned advertising planner, turned into some sort of hybrid creature
46160	49600	by work at the School of Life and the Institute of Practition as an advertiser.
50560	55200	Nick Chater is Professor of Behavioural Science and Pathology at the School.
56080	62320	He's on the advisory board of the Nudge Unit. He also broadcasts regularly on BBC Radio 4,
62320	71360	has hundreds of publications on his under his belt and runs a, I meant to ask, what is an M00C?
71360	77520	On the Shocking Shallowness of Human Psychology on Future Learn. Anyway, this is about The Mind
77520	85360	is Flat, the relevance to qualitative research. So I will leave you to it there with me when I
85360	97920	disappear off the screen, hopefully. And Feta Black-Luella. So what a little phase into the background.
98800	105360	So Nick, thanks for joining us. I was reflecting on this. It's about 10 years since we first met
105440	112160	doing work at the IPA. So and it was very exciting to see you publish your now award winning book.
112960	116720	So all those conversations I never got to finish with you because you were rushing somewhere else.
116720	124000	A lot of it was in the book. But what I'm interested in is it strikes me it's quite a personal book in
124000	132240	that it's not just built out of your research, but it's built out of your sort of more profound
132240	137520	beliefs or your deeper beliefs. So I was just interested to start by asking you how you came
137520	142080	to write a book called The Mind is Flat for me. And then we're getting to watching Mead by The
142080	148720	Mind Being Flat. Yes, that's a good question. I think it comes from a couple of sources. One is
148720	155360	that my starting point in the academic world when I did my PhD was the world of cognitive science.
155360	160240	And that's the project of trying to build computer models of the mind. So it's sort of like artificial
160240	166080	intelligence. Your aim is to build models that are like people. And a very natural strategy to do
166080	170240	that is to think, well, what we need to do is to work out what people's beliefs are, what they know
170240	174800	about the world, and also what they like, what they want, what they don't like. So we try and get all
174800	179680	this out of people's heads. And then we put it into a computer program and try and figure out
179680	184640	what the program would like to do. So it seems like a sensible strategy and between before
184880	190800	about from 1980 or so, it was probably the most popular strategy and artificial intelligence.
190800	199120	I came into the field in I suppose about 1986 as a PhD student. So I was in the sort of latter
199120	204240	phases of this project. And it was very influential on me to think that when people tried to do this,
205760	210960	it always seemed to go horribly wrong at the very first stage. So you'd think, I want to know how
210960	214960	to play chess. I want to make a computer that can play chess. So I need to talk to some grand
