start	end	text
30000	34000	You wonder what you'll find with an open mind.
34000	38000	You may be surprised.
38000	41000	Yeah!
41000	46000	You gotta get away from this illusion.
46000	50000	For the sake of the world, this delusion.
50000	55000	It's gotta, gotta, gotta go.
55000	59000	Yeah!
60000	66000	Hey everybody, welcome to the Atheist Experience.
66000	72000	I'm your host, Russell Glasser, and with me today, I am honored to be joined by Dr. Richard Carrier.
72000	73000	Hello.
73000	80000	The author of On the Historicity of Jesus and Homer Hitler Bible Christ, among a lot of things.
80000	87000	And here on this side is Chris Johnson, author and filmmaker of A Better Life.
87000	92000	A hundred atheists speak out on joy and meaning in a world without God.
92000	97000	We're, we're here doing the show live today after the Bat Cruise,
97000	101000	which means that just like every time this year, we've got a huge studio audience.
101000	102000	Let's hear it.
102000	107000	Wow.
107000	111000	Today is Sunday, September 28th, 2014,
111000	116000	where we are live calling public access Atheist television show based in Austin, Texas,
116000	121000	dedicated to promoting positive atheism and the separation of church and state.
121000	125000	We're available through live streaming at ustream.tv.
125000	131000	The official Atheist experience website is www.atheist-experience.com.
131000	136000	You can provide feedback by commenting on the official show blog,
136000	144000	freethoughtblogs.com, slash AXP, or you can email us at tvatatheist-community.org.
144000	148000	If you enjoy the show today, please check out our related podcast, The Nonprofits,
148000	152000	which airs the first and third Wednesday of every month.
152000	157000	And as usual, the cast and crew of the Atheist experience is going to be getting together
157000	162000	after the show at El Arroyo at 1624 West Fifth Street.
162000	164000	We'll be arriving at around 6 p.m.
164000	168000	Now, all those people you just heard, a bunch of them are going,
168000	171000	so it's going to be pretty crowded.
171000	174000	Just fair warning.
174000	177000	So that's it for the announcements,
177000	181000	and I'm going to kick it over to Richard,
181000	185000	who's going to tell us a few things, maybe from the lecture we heard yesterday
185000	187000	and about his work.
187000	189000	Yeah, right.
189000	193000	Well, my latest book is on the historicity of Jesus and the significance of this,
193000	195000	and I talked about it yesterday,
195000	200000	was this idea that Jesus never really existed as a historical person
200000	202000	has been kicked around for about 100 years,
202000	206000	and in the last 20 years, a lot of amateur books and websites and things have come out.
206000	210000	It even, like, was a featured topic in Religious, the movie.
210000	214000	But the problem is that there's a lot of misinformation, a lot of bad scholarship,
214000	217000	but there's also a lot of good stuff in there as well, and it's all sort of mixed up.
217000	221000	And no one had really gone through the trouble of clearing away all the bad stuff,
221000	223000	doing all the good stuff, doing thorough research on it all,
223000	227000	and then presenting it in a manner that would pass peer review at an academic press.
227000	231000	And so my book is actually the first book arguing that there was no Jesus,
231000	233000	that it was actually a mythical person that was made up,
233000	236000	or at least the Jesus of Galilee was made up.
236000	240000	It's the first one to be published by a university, the University of Sheffield,
240000	243000	and to have passed extensive peer review within the field.
243000	247000	And so it's going to get more attention from scholars in the field,
247000	250000	and since it doesn't have all of the bogus stuff in it that other things have had,
250000	257000	it's actually the first really good case that I think might start to rattle the cages of biblical studies.
257000	262000	And I guess maybe we can talk more about that if people call in and want to know more about it.
262000	263000	But that's just the gist.
263000	268000	Sure, yeah. With both Richard and Chris here talking about their topics,
268000	271000	this would be a great day to talk about something they know about.
271000	276000	But we'll be happy to get the usual kind of calls too. Anything else?
276000	280000	No, that's it, actually.
280000	282000	Oh, well, I suppose I should mention for those who don't know,
282000	286000	my PhD is in ancient history from Columbia University,
286000	290000	history of philosophy, religion, and science in the Greco-Roman era.
290000	295000	So that's my main field of expertise for those who are interested in calling in on that subject.
295000	298000	Okay. Chris, how are you doing?
298000	300000	Well, I'm good. I'm thrilled to be here.
300000	303000	And I worked on a project called A Better Life.
303000	306000	A hundred atheists speak out and join, meaning in a world without God.
306000	310000	I'm working on the film version right now as well, putting that together.
310000	315000	Basically, I wanted to change the way we talk about atheism
315000	318000	and talk about atheism from a positive perspective.
318000	321000	Instead of talking about what we are reeling against,
321000	324000	talk about what we love, what we're passionate about, what we value.
324000	329000	So I worked on a book, put that together, and now I'm putting together a film.
329000	335000	And I actually brought a clip along to show you a little bit about what I'm doing.
335000	337000	All right, let's hear it.
344000	345000	It's coming.
345000	348000	I'm hearing unhappy noises from the studio.
348000	350000	Live public access, everybody.
350000	352000	It'll happen.
360000	363000	Life is like its own reward.
363000	369000	You know, this idea that some people have that atheists must be nihilists
369000	373000	who have no purpose, and they're all dull or all the time,
373000	377000	and, oh, this life has no meaning and purpose, and why don't we just end it all?
377000	380000	I just, I cannot grasp that.
380000	385000	The more I've understood about how the universe works, the more that all,
385000	389000	the more joy, rather than it going, oh, it's just clockwork.
389000	392000	The sun's there, and we go around it every year and all that stuff.
392000	393000	No, I think that's amazing.
393000	395000	That is extraordinary how that's happening.
395000	401000	Since we are made of the same stuff, the same molecules that were created,
401000	405000	you know, in the explosions of the stars,
405000	413000	and we ourselves have evolved this incredible ability to contemplate our place in the universe,
413000	416000	we are a way for the cosmos to know itself.
443000	445000	Thank you.
473000	476000	You have instant, profound meaning in your life.
476000	478000	You happen to be alive right now.
478000	480000	You should really make the most of it.
480000	485000	So you have about 300 months to live with passion, to live with vividness,
485000	492000	to live trying to do something, make something, trying to create some significance.
492000	496000	People love things that they find beautiful,
496000	499000	and it can be a very expensive thing and an exquisite thing,
499000	504000	or it can just be as simple as, I used to have that when I was a child,
504000	507000	and I can't believe I've seen this now in the thrift store.
507000	511000	I haven't thought of this thing in, you know, 30 years.
511000	515000	And then there's my dogs.
515000	518000	Then there's the dog.
518000	520000	We love our dogs.
529000	543000	Thanks, Chris.
543000	545000	Thank you.
545000	547000	So we're going to go straight to calls now.
547000	549000	Nobody has any objections.
549000	555000	We're going to be starting with a local caller from, it's Christian from Cedar Park, Texas.
555000	557000	Hello.
557000	558000	Hi, Christian.
558000	560000	Hey, how's it going?
560000	562000	Good. How are you?
562000	565000	I'm pretty good.
565000	572000	I had a question for you guys, and I think it relates a little bit to Mr. Johnson
572000	577000	and his kind of the theme of his movie, too, a little bit.
577000	578000	Okay.
578000	588000	And that is, if somebody is religious and they have a predisposition towards religion,
588000	597000	then it seems like that even if they, excuse me.
597000	598000	Go on.
598000	602000	Even if they have a, I'm going to get a little echo.
602000	603000	Oh.
603000	605000	Sorry.
605000	606000	They're working on it.
606000	607000	Okay.
607000	615000	So even if I had doubts about whether there was an actual God or a Supreme being,
615000	627000	then I still might want to keep being religious just for any of the multiple aspects that come from being religious.
627000	633000	And in that sense, and this doesn't really describe me right now.
633000	640000	I mean, I have faith for the time being, and I believe.
640000	649000	But I did go through other periods where I was, you know, pretty much agnostic and atheist.
649000	655000	But I didn't feel, I just always felt like there was something missing.
655000	659000	I'm getting a pretty fierce echo.
659000	662000	But just work through it.
662000	663000	I'm sorry.
663000	664000	Okay.
664000	676000	So, you know, I like the ritual of religion, and I like the worship part of it, even if
676000	683000	it's just, you know, if you're singing the phrases of creation, ultimately, you know,
683000	690000	just the idea of hymns, just kind of the emotional tone of them.
690000	696000	And I like, even when I was young, I liked church and religion more than what I wanted.
696000	701000	So you're saying basically that you're still firm in your faith right now,
701000	712000	but you're wondering if somebody who was losing their faith would ought to feel a benefit from continuing to go through the motions
712000	717000	and rituals of religion just to get the sort of comfort and fellowship that it involves.
717000	718000	Is that what you're saying?
718000	723000	Yeah, if they find it fulfilling, then...
723000	726000	Well, he was asking you, Chris.
726000	732000	You've talked to a lot of people who have been through the deconversion process.
732000	734000	Do you have a perspective on this?
734000	738000	I would just say that you don't necessarily have to stop singing religious music.
738000	745000	If you like the music, you can still sing music, even if it has a religious basis.
745000	752000	One thing that is nice, though, that, you know, the secular community really is coming together more so than it used to.
752000	758000	So you can get that fellowship and that community from atheists.
758000	764000	I mean, we spent yesterday on the Bat Cruise, and it was great hanging out with all these wonderful people and meeting people and talking.
764000	769000	I mean, you get that same sense of community and friendship from atheists,
769000	774000	and I think you can get that from a secular community just as much as a religious one.
774000	776000	Well, there's also...
776000	780000	Wait, what is it, Richard?
780000	784000	Well, there's also Sunday Assembly, which isn't my thing, but some people love that.
784000	790000	I mean, it's kind of like a hymn-based, ecstatic religious experience,
790000	793000	except it's not religious, it's for atheists and non-believers.
793000	798000	If you just Google Sunday Assembly, you can probably find websites and see where those things are going around.
798000	803000	It's kind of like, you know, it's like a little tent event that goes around the country.
803000	806000	And they want to create more of these things.
806000	809000	And they do serve a segment of the community that want that part of...
809000	814000	They just can't believe anymore in the ideology or the particular teachings of the religion,
814000	820000	but love that particular experience of church, of the singing and that particular kind of thing.
820000	822000	So they've created a sort of secular version of this.
822000	826000	So people who are into that, that might be the thing for you, I don't know.
826000	839000	Well, I think that it's also kind of the fact that religion addresses this aspect of us that is somewhat primitive
839000	843000	and, you know, some of it's lost in the past,
843000	850000	but it forms in kind of a state of innocence that innocence...
850000	855000	I'm going to have to be the curmudgeon at this table and disagree with that.
855000	858000	I don't think... by innocence I don't agree.
858000	861000	Innocence of causing harm to people.
861000	863000	Right, but no, but I mean...
863000	867000	Religion didn't just form spontaneously, as I see it.
867000	871000	It grew organically out of a bunch of social conventions.
871000	879000	And even today, most people wind up with the religion that comes from their parents or their culture or whatever.
879000	880000	Absolutely.
880000	882000	So it depends.
882000	885000	Well, let me rephrase what I meant by innocence.
885000	896000	I mean, there's a sophistication of thought that develops as you learn about science and psychology, etc.
896000	901000	In the same way that when you're a child, you can perceive things a certain way,
901000	907000	but once you learn a certain amount, you kind of lose the ability to go back to that perception.
907000	913000	But are you getting at, like, the idea of the sense of awe and wonder that you can get at the universe?
913000	915000	Well, I'm just saying that...
915000	922000	I don't think that you can go to an atheist gathering for fellowship and get the same thing
922000	927000	that you can get going to a 500-year-old cathedral and being with people
927000	933000	who are actually, you know, fully engaging in the original way.
933000	938000	But I've been to a 500-year-old cathedral and still gotten that sense of awe and wonder,
938000	940000	and it had nothing to do with God.
940000	942000	It had to do with the architecture, it had to do with the space,
942000	945000	it had to do, most of all, with the history that's part of that.
945000	946000	Absolutely.
946000	949000	So I don't think it has anything to do with, you know, God or religion.
950000	955000	What I would say to your point is that every experience is unique
955000	959000	and a lot of different experiences can be moving in a way.
959000	963000	You know, the feeling you get from going to a 500-year-old cathedral
963000	967000	is not the same feeling that you get when you go to the Louvre
967000	972000	and you look at these amazing paintings that people have worked on.
972000	975000	And I think by denying the existence of God,
975000	980000	we're not invalidating that there's some really great religious art
