start	end	text
0	3680	I want to ask Sam some questions myself and then after that we'll open it up to a broader
3680	7200	set of people so everyone can have some time.
7200	12160	You know Sam, just before we start, I want everyone to understand your story because
12160	16560	you have such an interesting background in the tech ecosystem, you know, help us walk
16560	21960	us through from graduating, not graduating, joining Stanford, dropping out, running Y
21960	27040	Combinator, running a different startup before that, and now running OpenAI and a number
27040	28040	of things.
28040	30720	Just help us understand how you came to where you are right now.
30720	39240	Yeah, so I started at Stanford where we met and I was already in love with computer science
39240	42080	but I really fell in love with it once I got there.
42080	46000	I actually went to study AI but at the time AI was really not working at all.
46000	50880	In fact, very memorably one of my professors said the only sure way to have a bad career
50880	53000	in AI is to work on neural networks.
53000	56200	We've decided those don't work.
56200	59200	And so I got kind of discouraged and I started a company.
59200	60200	That was a great experience.
60200	65400	The company didn't work out that well but I kind of like learned about startups and
65400	68600	thought they were a very powerful force and something I was very excited about.
68600	74920	So I then ran YC for a while and while I was doing that, I got newly excited about the
74920	79600	idea of startups that take on hard technical challenges.
79600	84400	And I sort of thought it was curious to me more people weren't doing that.
84400	86920	It seemed like a really valuable opportunity.
86920	90000	With some other people, started OpenAI is one of those examples and many other things
90000	95000	which have gone on to be pretty exciting but really fell in love with OpenAI.
95000	100880	Once it seemed clear that we were really going to have a chance at making true general purpose
100880	105960	AI like a system that could do what a human can do and contribute new knowledge to society,
105960	109840	I got really excited and wanted to go work on that.
109840	114360	And so stop being an investor and now I do that.
114360	116920	So first of all, what is OpenAI?
116920	118520	Is it just chat GPT?
118520	119520	Are they the same thing?
119520	120520	Are they different?
120520	123200	Just help us understand what the company does.
123200	128560	We are a company that is doing research and deployment to try to figure out how to build
128560	133480	AGI and how to responsibly deploy that into the world for maximum benefit.
133480	136840	So this is unlike other technologies.
136840	140480	Other technologies are like this too but this is a strong case of a technology that
140600	144800	on the one hand is the most exciting, most promising, coolest thing.
144800	147680	I think that humanity will have yet built.
147680	152680	We can cure all disease, we can give everybody a great education, better healthcare, massively
152680	157320	increased productivity, huge scientific discovery, all of these wonderful things and we want
157320	161880	to make sure that people get that benefit, that benefit is distributed equitably.
161880	167280	And on the other hand, there are the obvious concerns about the power of this technology
167280	169880	used in a negative direction.
170000	176080	So we want to be a force to help manage those risks so that we all get to enjoy the benefits.
176080	179960	Chat GPT is definitely what we are best known for so I guess there is sort of synonymous
179960	183800	at this point but OpenAI is really about this quest for AGI.
183800	186240	Interesting.
186240	189360	So help us understand, I mean all of us have played with it, right?
189360	193720	We have poems getting written by it, we have all asked it fun trivia questions, teller
193720	199440	and answers but help us understand, you without a doubt have a better understanding of how
199520	204080	it's getting used all around the world and all sorts of different industries, vocations,
204080	205840	reasons.
205840	209880	Talk to us a little bit about some of the most interesting things that you've seen.
209880	213960	For example, what's the most surprising use case of some of the technologies that you
213960	217440	guys have built that you've seen recently?
217440	221840	So the main thing I would say that's interesting about it is its generality.
221840	225080	There's a lot of other systems that can go do this thing well or that thing well or this
225080	228120	thing and in many cases better than Chat GPT.
228560	233880	There's probably not an AI that can write a better poem or whatever but other categories
233880	237880	you could find something that's maybe better but the fact that this one system is truly
237880	242600	general purpose and can do so many things means that people are integrating it into
242600	248000	their workflow as a very powerful tool and so the same thing that can help you write
248000	253600	computer code, one of the areas that we've seen the biggest impact is what coders are
253600	257920	using this for, doubling, tripling their productivity.
257920	262400	There was a paper that just came out that when Italy temporarily banned Chat GPT developer
262400	270200	productivity fell in half on a fairly big study but it can do that, it can also help
270200	275120	you find information, it can help you write a poem, it can help you summarize documents,
275120	280440	it can translate things and people are using this which we hoped would happen as this sort
280440	284960	of super assistant that just makes them more and more productive and it's that generality
284960	288280	that I think is the coolest part.
288280	293200	So with so much ability that maybe even you guys haven't even thought about how people
293200	298360	are using it when you developed it and launched it, I'm sure you've seen a lot of interesting
298360	301360	use cases right here out of India itself.
301360	304280	Can you tell us something or just give us an example of something you've seen that's
304280	308480	really inspired you that you've seen come out of the Indian market?
308480	314000	So India has been a country that has really truly embraced Chat GPT in a way, maybe you
314000	317080	can tell me why, I'm sort of curious, I'm hoping to learn while I'm here, we're very
317080	324880	delighted but there has been a lot of early adoption and real enthusiasm from the users.
324880	330920	One of the very earliest things like in the first weeks of launching Chat GPT, we heard
330920	337120	about a farmer in India who wasn't able to access government services and via like Chat
337120	341680	GPT hooked up to WhatsApp in some sort of complicated way, was then able to.
341680	344600	And that was like one of the early things where we're like, huh, we did not think that
344600	346800	was going to happen.
346800	352640	And just to expand on it, so what I've understood about OpenAI is Chat GPT is one implementation
352640	359720	of the things you've built but you have capabilities to real time translate, to transcribe audio
359720	365360	and detects and are you seeing people use these in combination in ways that are surprising?
365600	370240	Well, we recently launched an iPhone app that has speech recognition in it, which is that's
370240	372640	hooking up two of our models together and people love that.
372640	379440	But the main point that I would like to get across is none of the current systems really
379440	380440	matter.
380440	384680	Like, we're going to look back at GPT4 and you know, I don't know if any of you have
384680	390320	like picked up an iPhone, original iPhone in recent years but it's like, wow, I cannot
390320	392160	believe we're excited about this.
392160	398960	Each pixel is like that big, it just feels like this incredibly antiquated thing.
398960	403880	The curve here is going to be much, much steeper and what the systems are going to be capable
403880	408800	of in the not distant future, we think, is going to be very dramatically different.
408800	414760	So this is like a system that, I don't even know what the right, this is like the old
414760	419960	first like grayscale Nokia phone that looked like a little candy bar and the iPhone 14
419960	422560	is coming.
422560	428360	So what I would say is, it's a mistake to get too focused on the current systems, their
