start	end	text
0	8820	This is a compliant machine called a mechanical neural network.
8820	13880	It's the first of its kind to successfully demonstrate the mysterious ability to learn
13880	16300	similar to biological brains.
16300	22040	Inspired by the mathematics of artificial neural networks, which enable most artificial intelligent
22040	27440	machine learning technologies today, this mechanical neural network paves the way for
27440	33880	a new kind of material that can physically learn its mechanical behaviors and properties.
33880	38860	Whereas the properties of most materials remain largely fixed and are a function of their
38860	44080	composition and microstructure, this new kind of learning material could get better and
44080	49740	better at exhibiting desired mechanical properties and behaviors, such as this shape morphing
49740	55520	behavior, when exposed to ever increasing amounts of loading experiences.
55760	60920	If such materials are ever damaged or cut to form new shapes or sizes, they could not
60920	67080	only relearn their original behaviors, but they could also learn new behaviors as desired.
67080	70720	The applications of such learning materials are endless.
70720	75640	Imagine training the wings of an aircraft so that they learn to optimally warp their
75640	81480	airfoil shape when subjected to unanticipated and changing wind loading conditions so that
81480	86880	the aircraft improves its fuel efficiency and maneuverability with every flight.
86880	91440	Or imagine training the structural members of a building by shaking them in different
91440	96480	ways so that the building learns to remain stationary regardless of the kind of seismic
96480	100040	waves induced by an actual earthquake when it strikes.
100040	105360	Or imagine training body armor by repeatedly shooting it at different locations and from
105360	110880	different orientations so that the armor gets better and better at redirecting any projectiles
110920	114360	impacting shock waves away from vital organs.
114360	118920	Instead of expending the immense amount of time and cost it currently takes to develop
118920	123800	a new material that achieves specific combinations of desired properties which are currently
123800	129400	not possible, such learning materials could simply be deployed without human understanding
129400	134680	and the material would autonomously learn to achieve those properties while also acquiring
134680	138880	that understanding for future designers to learn from.
138880	141880	So how would this kind of learning material work?
141880	146200	Well, it's important to first understand the source of its inspiration.
146200	152360	The idea for a mechanical neural network was inspired by a physical version of an artificial
152360	153560	neural network.
153560	158840	The mathematics underlying artificial neural networks are diagrammed using interconnected
158840	164280	lines that represent scalar weight values which are multiplied by input numbers that
164280	166880	are fed into multiple layers of neurons.
166880	172400	These neurons consist of activation functions that ultimately produce output numbers.
172400	177360	If the artificial neural network is provided with a set of known input and output numbers,
177360	183480	the network can be trained by tuning its weights over time so that it accurately predicts previously
183480	187360	unknown output numbers that result for any input numbers.
187360	191560	Here, different shades of blue represent different scalar weight values.
191560	197280	In this way, artificial neural networks can mathematically learn to model complex systems
197280	200160	that map many inputs to many outputs.
200160	205640	Similarly, mechanical neural networks possess physical interconnected tunable beams, shown
205640	210680	here as blue lines, which are mechanical analogues to the weight lines within artificial neural
210680	212040	network diagrams.
212040	216640	The beams connected nodes, shown as white circles outline black, which are analogous
216720	219800	to the neurons within artificial neural networks.
219800	224920	Whereas artificial neural networks tune their weights to match input numbers to output numbers,
224920	230280	the mechanical neural network proposed here tunes the axial stiffness values of its beams
230280	234720	to match input loads to desired output behaviors.
234720	239240	To demonstrate how the envisioned mechanical learning would work, suppose a shape morphing
239240	245080	behavior is desired for the following eight-layer deep triangular lattice consisting of eight
245080	248120	input nodes and eight output nodes.
248120	253360	Note that the black bars along the top and bottom edges of this lattice represent a grounded
253360	256880	body on which the nodes that touch it are pinned.
256880	261520	Suppose that when the input nodes along the left side are loaded by equivalent horizontal
261520	267160	forces, it is desired that the output nodes along the right side respond by displacing
267160	272720	to target locations along the contour of an undulating sinusoidal shape, shown as the
272720	273800	red curve.
273800	278160	To learn the shape morphing behavior, each tunable beam in the lattice would start the
278160	284760	learning process by setting their axial stiffness to a random value depicted here as a specific
284760	287800	shade of blue according to this color scale.
287800	292120	When the input nodes on the left side of the lattice are loaded with the horizontal input
292120	297560	forces of the desired behavior, the resulting displacements of the output nodes would then
297560	304520	be measured and a mean-squared error, i.e. MSE, would be calculated by finding the average
304520	309600	of the scalar difference between the target output node displacements and these measured
309600	316080	output node displacements, i.e. their final location error, EI, for all n nodes on the
316080	322040	right side of the lattice squared, for this lattice, n equals eight output nodes.
322040	327120	The tunable beam elements would then change their axial stiffness values according to
327160	333640	an optimization algorithm such that when the process of loading, measuring, and calculating
333640	339360	the mean-squared error is repeated, the mean-squared error would be minimized until a working
339360	345120	combination of beam stiffness values is identified that achieves the desired behavior.
345120	349960	One possible combination of beam stiffness values that enabled this mechanical neural
349960	355120	network to achieve the desired sinusoidal shape morphing behavior is shown here.
355120	360520	Suppose it is desired that the neural network then learns another new behavior in addition
360520	361880	to the first behavior.
361880	366880	Specifically, suppose it is desired that in addition to the lattice's output nodes displacing
366880	371960	to this sinusoidal shape in response to its input nodes being loaded with equivalent horizontal
371960	377720	forces, the same lattice's output nodes also displace to an inverted sinusoidal shape in
377720	383480	response to its input nodes being loaded by equivalent vertical input forces instead.
383480	388800	To learn the new behavior, shown green, while maintaining the ability to simultaneously achieve
388800	393640	the first behavior, shown red, the lattice of tunable beam elements could either start
393640	399160	with another random combination of stiffness values as shown here, or they could start
399160	403840	with the same combination of stiffness values that were found to successfully achieve the
403840	405480	first behavior only.
405480	410280	Parenthetically, the latter choice becomes increasingly favorable as the mechanical neural
410280	414920	network acquires more and more behaviors because the working combination of beam stiffness
414920	419720	values acts as a sort of muscle memory for previously learned behaviors.
419720	424280	Regardless of what starting combination of beam stiffness values are selected, however,
424280	429120	the input nodes would then be loaded with both the horizontal and then vertical forces
429120	435160	of the first and second behaviors respectively, and a single mean squared error would be calculated
435160	441800	that simultaneously considers the square of the output node final location errors of both
441800	444400	loading scenarios averaged together.
444400	449080	The tunable beam elements would then change their axial stiffness values according to
449080	456920	the same optimization algorithm such that when the process of loading, measuring, and calculating
456920	462400	the cumulative mean squared error of both behaviors is repeated, this new mean squared
462400	468360	error would be minimized until a working combination of beam stiffness values is identified
468360	473400	that successfully achieves the first and second behaviors simultaneously.
473400	478200	Note that the tunable beams all remain the same shade of blue regardless of whether the
478200	482680	lattice is actuated with the loads of the first or the second behaviors because the
482680	487600	same combination of beam stiffness values successfully achieves both behaviors.
487600	492520	It's also important to recognize that mechanical neural networks can achieve the same desired
492520	497640	set of behaviors using many different combinations of beam stiffness values.
497640	502680	Note for instance that although this second solution exhibits the same desired behaviors
502680	507680	as our first solution, it does so with an entirely different combination of beam stiffness
507680	508680	values.
508680	512560	The fact that many different combinations of beam stiffness values can achieve the same
512560	517360	behaviors allows mechanical neural networks to learn more and more new behaviors while
517360	520520	retaining memory of previously learned behaviors.
520520	525200	Finally, it's also worth noting that mechanical neural networks are not limited to learning
525200	531120	shape morphing behaviors only but can learn almost any combination of quasi-static, thermal,
531120	536560	and even dynamic mechanical behaviors including the control of wave propagation within their
536560	539620	lattice.
539620	544640	To experimentally demonstrate the concept of a mechanical neural network, it was important
544640	549600	to first design a tunable beam that could achieve adjustable stiffness along its axis.
549600	554080	After comparing multiple concepts, we settled on this compliant design.
554080	558720	It consists of two parallel blade flexors that deform to guide the translational extension
558720	563920	and contraction of the beam along its axis while rigidly constraining all other directions.
563920	569040	A bracket is attached to the beam's housing in part to provide a hard stop so that the
569040	573240	parallel blade flexors are not allowed to deform to a point where they would yield,
573240	576520	i.e. be permanently damaged beyond their elastic limit.
576520	582120	The bracket is also attached to the magnet end of a voice coil actuator which is aligned
582120	584040	with the beam's central axis.
584040	588720	The actuator's other mating end, which consists of a coil of copper wire wrapped around a
588720	593560	drum, is attached to another bracket that is attached to the other side of the beam's
593560	594560	housing.
594560	598520	Depending on the direction and magnitude of the current flowing through the wrapped wire,
598520	603280	the magnetic field can be induced by the coil that pushes or pulls on the voice coil's
603280	608800	magnet end, thus actuating the beam along its axis in either direction.
608800	613280	Two strain gauge sensors are mounted on either side of one of the parallel blade flexors
613280	618660	at its base to accurately measure the resulting displacement of the beam along its axis by
618660	623560	transforming the flexor's deformation strain into a proportional voltage signal.
623560	629080	In this way, closed loop control can be applied to actively tune the beam's axial stiffness
629080	632320	to achieve any value between an upper and a lower limit.
632320	637320	You could imagine that the highest axial stiffness would be achieved if when the beam is loaded,
637320	642880	the voice coil responds by resisting the load with the largest actuated force possible in
642880	645480	the opposite direction as the applied load.
645480	649920	Likewise, the lowest axial stiffness would be achieved if when the beam is loaded, the
649920	655160	voice coil responds by assisting the load with the largest actuated force possible along
655160	657760	the same direction as the applied load.
657760	663760	In this way, the tunable beams could be made to achieve zero or even negative stiffness.
663760	668880	The beam's housing inflectures were cut from an aluminum sheet using wire EDM and its brackets
668880	671760	were machined from aluminum L brackets.
671760	676760	We applied proportional and derivative closed loop control as detailed by this diagram to
676760	680240	achieve the desired stiffness control of the tunable beams.
680240	685760	An instant testing machine was used to individually calibrate each beam by generating these four
685760	688800	plots to inform the controller as shown.
688800	694640	If this function is set to EK in the control loop and the proportional gain Kp is set to
694640	700000	a desired value, the resulting forced displacement response of the actively controlled beam will
700000	705120	be linear and will possess an unchanging slope, i.e. stiffness, that is equal to the
705120	708280	proportional gain Kp value set.
708280	712960	This plot, measured using an instant testing machine, shows the linear forced displacement
712960	718480	responses of a tunable beam being controlled with different Kp values to achieve corresponding
718480	721520	positive and negative axial stiffness values.
721520	725840	The maximum and minimum stiffness values that the beam could be controlled to achieve without
725840	733280	becoming unstable was measured to be 2.3 Nm and negative 2 Nm respectively.
