start	end	text
0	3280	Hi everybody, welcome back to the front room. I'm Kai and I'm here with my dad today.
3280	6240	Hi guys, hope you're having a good day. Thanks for joining us again.
7360	12400	Maybe, maybe you won't have a good day after listening to this song.
12400	17360	Oh, I'm gonna show you at least. Okay. Great, good to hear that.
20160	23920	This is a highly requested song and artist.
25440	28080	I could take a stab at who it might be, but I won't.
28160	31360	Okay, yeah. We're gonna be listening to a song called
31360	34320	Dance with the Devil by Immortal Technique.
35360	37520	Thought it might be that one. I really did.
38560	40960	Yeah, because people have asked for it for a long, long time.
40960	45600	Yeah, a long time. Yeah, Dance with the Devil by Immortal Technique.
45600	53200	Yes, it's an underground classic, but it's so popular in the underground, you know,
53840	58400	people that maybe don't listen to rap that much or, you know, might have come across it.
59280	69760	It's got released in 2001 and it's a pretty epic song, but I was gonna say, you know,
69760	73040	I've listened to some other Immortal Technique. I haven't been the biggest fan.
73040	76720	This song sticks out for me as one of his better ones that I've heard.
76720	80880	Okay. But definitely, I was gonna say I'm a fan of the song,
80960	85120	but I don't know if that's the right word to describe appreciating the song.
86160	89680	So you'll see that. Usually, I give you the lyrics, but this time,
89680	92240	I'm gonna hold off because he's pretty easy to understand.
93120	96160	If you need the lyrics halfway through when I pause or something,
96160	98400	yeah, just let me know and then I can give them to you.
98400	102400	I'll do that. But just focus in and just get ready.
102400	103600	Dance with the devil?
103600	105840	Yeah. Oh boy. Okay.
108880	109760	Here we go.
109760	110560	All right.
115120	117120	Theme from the movie Love Story.
118800	119280	Yeah.
128640	129440	Mellow and...
169760	172480	So criminals, he chilled with didn't think he was real.
172480	175200	You see me and niggas like this have never been equal.
175200	177840	I don't project my insecurities on other people.
177840	180640	He feeding for props like addicts with pipes and needles.
180640	183280	And so he felt he had to prove that everyone he was evil.
183280	185920	A feeble minded young man with infinite potential.
185920	188720	The product of a ghetto bred capitalistic mental.
188720	191520	Coincidentally dropped out of school to sell weed.
191520	194000	Dancing with the devil smoke till his eyes would bleed.
194000	196720	But he was sick of selling trees and gave him to his greed.
200720	202720	Yeah. Very easy to understand.
226240	227120	That was a good line.
229840	233200	Rob and niggas anything you could do to get his respect back
233200	234480	in the eyes of his crew.
234480	237120	Starting fights over little shit up on the block.
237120	239920	Stepped up to selling mothers and brothers to crack rock.
239920	242560	Working overtime making money for the crack spot.
242560	245120	Hit the jackpot and wanted to move up to cocaine.
245120	248000	Fulfilling the scar face fantasy stuck in his brain.
248000	250560	Tired of the black niggas treating him the same.
250560	253200	He wanted to be major like the cutthroats and the thugs.
253200	255920	But when he tried to step to him niggas showed him no love.
255920	258800	They told him any motherfucking coward can sell drugs.
258800	261440	Any bitch nigga with a gun can bust slugs.
261440	264080	Any nigga with a red shirt can front like a blood.
264080	266560	Even puffy smoke the motherfucker up in the club.
266560	269440	But only a real thug can stab someone till they die.
269440	272240	Standing in front of them staring straight into their eyes.
272240	274720	Billy realized that these men were well guarded.
274720	277520	And they wanted to test him before business started.
277520	280160	Suggested raping a bitch to prove he was cohorted.
280160	282800	So now he had a choice between going back to his life.
282800	285360	Or making money with made men up in the site.
285360	288160	His dreams about cars and ice made him agree.
288160	290800	A hardcore nigga is all he ever wanted to be.
290800	293520	And so he met through Friday night at a quarter to three.
300080	301040	I'm just going to pause it there.
301760	303840	Well I can totally understand it.
304400	304960	That's good.
305600	307920	Yeah it's telling the story of this guy.
307920	316160	Just trying to, guy who's trying to make it in the world.
316160	322320	In terms of selling drugs and then trying to move up through the ranks I guess.
323040	331280	But people are saying what have you got that a thousand other guys don't have right?
331280	332320	Yeah exactly.
332320	335680	And even if you do get that money he said you can't buy respect with money.
338240	340160	So yeah he was dealing drugs.
340160	343680	Then did he catch the end of that verse where they said you know if you really want to
344400	350240	move up the ranks and be on our level be part of the you know part of the club I suppose.
351120	352160	You have to rape somebody.
352800	353760	God no I missed that.
355680	356800	Do you want to rewind that a little bit?
357680	358000	Yeah.
358000	359760	Sounds like it's kind of important.
359760	360260	Yes.
373680	400400	Right right and before that they said
403680	410640	they say or he says uh yeah um you know if you're hardcore you can actually stab someone
410640	414160	and stab them repeatedly and stand over them until they die.
414160	417360	Right yeah and also rape somebody.
417360	417840	Yeah.
417840	422480	Show that you're really uh tough that you're really you're worthy to be one of us.
422480	423440	Wow yeah.
423440	426880	Yeah so I think um initiation into the.
426880	430320	Yeah exactly you know any they said basically anybody can shoot a gun.
431120	431520	Right.
431520	432720	Anybody can sell drugs.
432960	435200	But you want to actually be a ruthless.
435200	435920	Yeah.
435920	436480	Person.
436480	437280	Yeah.
437280	437920	Like us.
437920	438240	Yeah.
438240	442320	You got to do these things so it's a tale of whether or not he wants to do it.
442320	449840	Yeah you know and before this uh this um stanza or yeah this portion of the song uh started up
449840	456320	there was a drop in the music did you notice that sort of a it went down a notch I don't know
456320	457520	how to explain it.
457520	462640	Where he wasn't rapping or no when he was yeah there was a change and there's no piano
462640	467680	it was um yeah there's a some sort of strings yeah and it almost sounded like there was the
467680	473280	music got kind of a little more um not ominous but there was a there was a drop in the music
473280	478320	and I thought immediately okay there's a change here and something something's coming up.
478320	478960	Right.
478960	479440	Yeah.
479440	482720	I think um I'm not sure exactly what the change was there.
482720	482880	Yeah.
482880	486160	But I think it was just leading up to this this sort of pivotal moment.
486160	487680	Yeah it was it was.
487680	488960	So that might have been that.
488960	489760	Yeah neat.
489760	492000	Do you want the lyrics or you think you're good.
492000	493040	I don't think I need them.
493040	493520	Okay.
