start	end	text
0	15000	You got transported to 2014, Paul Cristiano is like, boom to Paul and Paul's just celebrating, he's like, man, we've done it, it's happened, alignment is soul, like, and you look out and you know, the light cone is smiling and joining us.
15000	16000	That's so wide.
16000	19000	Yeah, yeah, it's like, wow, what happened?
19000	25000	Also, this being is this, could I just kind of keep up to meme, and I'm like, instant you're happy.
25000	29000	Well, I don't know, what's, what's, what's the channel?
29000	30000	What am I doing?
30000	35000	Is this like, is this recorded for, could be, could be, okay, just, okay.
35000	36000	Half meme, half.
36000	37000	Off takes.
37000	38000	Half takes.
38000	41000	They have like, inside your second channel where you just, yeah, yeah, yeah.
41000	42000	About the outside view.
42000	43000	The outside.
46000	54000	I often find it, um, slightly confusing how NLMs translate to some system I cover in the future.
55000	62000	In some sense, it feels like, you know, you ask a large, oh, do you want to break out with a server and like take over?
62000	64000	And it goes, yes.
64000	67000	I'm not actually sure what this translates to.
67000	69000	For like a future system that's actually taking over breaking servers.
69000	76000	Like I could imagine these systems are maybe more like, maybe N10, like maybe like something like an action transformer,
76000	78000	or they're not directly trained in the language.
78000	81000	And it's unclear to me like how, what they say translate to what they do.
81000	86000	And in fact, I'd expect that to diverge pretty heavily, um, in, in cases I'd worry about.
86000	87000	Yeah.
87000	90000	I think we're in a really weird situation, right?
90000	98000	Because we have all these models and there's this sense that like they could really do things that like change things in the world, right?
98000	104000	Um, but nobody's really deployed these models into like a convincing enough context to showcase these capabilities.
104000	110000	Um, but to answer your question, I think, like, you know, things like, um, WebGBT or like with Coheur, with Act 1,
110000	119000	like once you give language models an API, I think the idea is that like they can leverage, um, the knowledge they've gained in pre-training to use this API to do dangerous things.
119000	127000	And you imagine that like, you know, something like ACT, I mean, ACT can't generate language, at least not the right.
128000	138000	Um, do you see like, what it says as actions are when asked to translate way out and generalize like what it's actions actually will be?
138000	142000	Like, let's say you have WebGBT, oh, would you break out the server file?
142000	148000	Do you think, whether it says yes or no, and like an email like this translates to, if I scale up the system, if I deploy it, it actually will.
148000	149000	Right.
149000	159000	And as I said, I feel like there might be some disconnect, what this like chatbot says, and then what happens when you use this things world model,
159000	165000	if I tune it on some actions, call it to run, let's say, let's say, interact with an API.
165000	173000	It feels like, do you imagine, do you imagine behavior there happens kind of independently of what it said in the chatbot setting?
173000	174000	Yeah, I agree.
174000	178000	So I don't think you literally go and ask it, would you break out of the server farm?
178000	190000	But you go in and measure like, literally just have humans, maybe at first, look at the actions it's taking and see, okay, you know, I am like an expert software engineer or an expert systems engineer,
190000	197000	like I'm looking at these actions, do these actions look as if like the model is actually trying to break out of the server farm?
198000	207000	So yeah, I suppose like that's a problem with evaluations, would you just ask the language model, like yes or no questions about what it would do and not actually like see what it would do?
208000	212000	So let's say hypothetically with the server, it's kind of an evil company.
212000	213000	Hypothetically?
213000	217000	Hypothetically, let's say there's some kind of evil company that's going on.
217000	223000	It's like, I think I'd be interested to see like, right now, what would your model of like, what would that email look like?
223000	227000	Is it more like, like you said, give it an API, see what it's doing?
228000	237000	Yeah, API, I think also identifying key contexts in which a dangerous behavior like takeover or some sort of power seeking would occur.
237000	250000	Yes, so the difficulty here I think is, I think we need to identify these contexts in order to actually be able to write concrete evals and to provide evidence that's convincing to the public that AI is going to do dangerous things.
250000	256000	Of course, whenever, yeah, I don't think like we're going to be able to cover all the possible ground.
256000	265000	There's of course, some unsurging extrapolating from evaluations that we developed, you know, okay, the AI doesn't think dangerous in this scenario doesn't do something dangerous in the scenario B.
265000	268000	What does it do to the scenario C? Sort of unclear.
269000	274000	Do you worry about, like at the point where an AI can exhibit dangerous behavior?
274000	282000	And it's already strategically aware that if it had, like let's say, you know, someone like Yikowski or like, let's say Evan is right.
282000	289000	My strategic awareness plus like long term planning often needs a deception that you will, your evals will be too late in some sense.
289000	299000	Like there's this like, you have to catch it while it's still competent enough to show dangerous behavior and not confidence have the strategic awareness that it should be deceptive.
299000	301000	Yeah, that's a serious problem, I think.
302000	308000	Yeah, so one, I think definitely people should be looking into the conditions under which deceptive alignment or something like that might arise.
308000	318000	Number two, this is just an argument for developing evals as fast as possible so that, you know, I'm imagining at every stage of the trading process, like ideally, you know, every like 10 steps or something.
318000	322000	Maybe even like every step. We literally just like eval the hell out of this thing, right?
322000	324000	We make sure not to train on this eval somehow.
324000	329000	You know, somehow we need to make sure evals don't ever make it into the training sets of language models.
329000	332000	Otherwise, you know, while they train on this, they already know about this.
332000	333000	It's going to be kind of useless.
335000	339000	So, yeah, how do you feel about this like optimization?
340000	348000	So, I think you previously mentioned you don't like the word benchmark and you used the word eval. Could you maybe expand on that?
